merchant_id,transaction_count,total_transaction_value,failed_transactions,successful_transactions,failure_rate,merchant_type,merchant_category,merchant_size,avg_transaction_value,monthly_transaction_volume,baseline_success_rate,primary_payment_method,geography,subscription_enabled,failure_rate_zscore,transaction_volume_zscore,transaction_value_zscore,anomaly_score,risk_score,risk_category
M00005,113,2900631.59,13,100,0.1150442477876106,Incident,Travel,Small,25178.21,2381,0.91,Net Banking,East,False,2.1713578452255367,1.4011679173118785,4.72566179819808,2.5281806502373136,100.0,Critical
M00068,121,183418.7,14,107,0.1157024793388429,Normal,Retail,Medium,1484.79,14401,0.925,Debit Card,North,False,2.1975943132372064,2.2634250971961114,-0.5875155836751634,1.888744724116579,73.16,High
M00076,111,862331.0,13,98,0.1171171171171171,Normal,Education,Small,7674.01,2216,0.92,Net Banking,West,True,2.253980396141173,1.1856036223408202,0.7400143606699563,1.7375118342868594,66.82,High
M00094,109,1283112.31,1,108,0.0091743119266055,Normal,SaaS,Small,11640.9,2501,0.965,UPI,South,True,-2.0485145999872345,0.970039327369762,1.562800733881587,1.7356767722426107,66.74,High
M00040,85,1082592.83,1,84,0.0117647058823529,Normal,Professional Services,Small,12570.89,909,0.925,Net Banking,West,True,-1.9452640219340325,-1.6167322122829368,1.170709422346191,1.7246467400862449,66.28,High
M00007,114,334172.01,13,101,0.1140350877192982,Normal,Gaming,Small,2957.14,1453,0.915,Net Banking,South,False,2.131133708595554,1.5089500647974077,-0.2927359291687676,1.6390174239505677,62.68,High
M00081,106,46641.95,1,105,0.0094339622641509,Normal,Media,Small,429.34,579,0.96,UPI,West,False,-2.038165190630488,0.6466928849131747,-0.8549657849974939,1.5232308483604262,57.82,Medium
M00025,75,83829.2,2,73,0.0266666666666666,Normal,Food Delivery,Small,1120.19,741,0.955,UPI,South,False,-1.3512863909668569,-2.694553687138228,-0.782250667120195,1.5061327054317988,57.11,Medium
M00083,108,171440.88,12,96,0.1111111111111111,Normal,Retail,Small,1573.45,2439,0.925,Debit Card,North,False,2.0145868511804816,0.8622571798842329,-0.6109367453155932,1.5033908957482542,56.99,Medium
M00098,119,1474462.26,4,115,0.0336134453781512,Normal,SaaS,Medium,11863.26,7530,0.945,Credit Card,South,True,-1.0743945629971952,2.047860802225053,1.936962151304635,1.4416013285042548,54.4,Medium
M00001,115,43193.24,11,104,0.0956521739130434,Normal,Food Delivery,Small,381.4,919,0.955,UPI,East,False,1.398408683281653,1.6167322122829368,-0.8617093154864282,1.3347335155228648,49.91,Medium
M00084,90,35721.04,9,81,0.1,Normal,Food Delivery,Small,418.13,2987,0.915,Net Banking,East,False,1.571708793003201,-1.0778214748552912,-0.876320288435564,1.3338536284600917,49.88,Medium
M00058,87,124606.81,2,85,0.0229885057471264,Normal,Food Delivery,Small,1403.25,2705,0.955,UPI,West,False,-1.497894299880714,-1.4011679173118785,-0.7025150395084594,1.319473171292496,49.27,Medium
M00075,89,50538.58,2,87,0.0224719101123595,Normal,E-commerce,Small,587.89,2858,0.945,Wallet,Central,False,-1.518485298323672,-1.1856036223408202,-0.8473464017472073,1.3176811838118088,49.2,Medium
M00042,91,908289.71,9,82,0.0989010989010989,Normal,Healthcare,Small,9885.1,2666,0.93,Debit Card,East,True,1.5279076663702829,-0.970039327369762,0.8298809954745893,1.27672866439104,47.48,Medium
M00051,89,332363.92,9,80,0.1011235955056179,Normal,Retail,Medium,3814.54,8442,0.955,UPI,West,False,1.616494214616631,-1.1856036223408202,-0.2962714279615734,1.2662715388304573,47.04,Medium
M00064,106,736793.83,11,95,0.1037735849056603,Normal,Professional Services,Large,7824.37,97960,0.925,Net Banking,South,False,1.7221202089879346,0.6466928849131747,0.4945417829845263,1.261519058972301,46.84,Medium
M00052,93,2339609.97,7,86,0.075268817204301,Normal,Travel,Medium,24684.36,4771,0.93,Credit Card,South,False,0.5859479538344108,-0.7544750323987038,3.628652655816938,1.2281943099437749,45.44,Medium
M00009,94,77409.52,2,92,0.0212765957446808,Normal,Gaming,Small,809.95,2393,0.935,Credit Card,South,False,-1.5661293638698774,-0.6466928849131747,-0.7948035659748975,1.2279769084995409,45.43,Medium
M00088,87,61613.81,8,79,0.0919540229885057,Normal,Food Delivery,Small,681.74,2572,0.955,UPI,Central,False,1.2510039922541336,-1.4011679173118785,-0.8256901444286856,1.1959740077005931,44.09,Medium
M00061,93,737671.03,2,91,0.021505376344086,Normal,SaaS,Medium,8045.36,9211,0.965,UPI,Central,True,-1.5570103921846887,-0.7544750323987038,0.4962570402676535,1.1843526498440846,43.6,Medium
M00033,104,407084.93,2,102,0.0192307692307692,Normal,E-commerce,Small,4028.32,2363,0.955,UPI,West,False,-1.6476740145162665,0.4311285899421164,-0.150163634294098,1.1048628535570029,40.26,Medium
M00093,116,842968.44,10,106,0.0862068965517241,Normal,SaaS,Small,7084.07,2941,0.925,Net Banking,East,True,1.0219291345762298,1.7245143597684658,0.7021532434105118,1.0984910013815334,40.0,Medium
M00041,102,455277.44,2,100,0.0196078431372549,Normal,E-commerce,Small,4456.72,2013,0.945,Wallet,East,False,-1.6326442161618326,0.2155642949710582,-0.0559290768731297,1.0338852040659372,37.29,Medium
M00055,100,1315456.54,9,91,0.09,Normal,SaaS,Medium,13123.93,8425,0.925,Net Banking,West,False,1.1731185406436475,0.0,1.6260459186451943,1.0290803081152275,37.08,Medium
M00086,96,108729.16,9,87,0.09375,Normal,Food Delivery,Large,1129.52,24961,0.955,UPI,West,False,1.3225898852784803,-0.4311285899421164,-0.7335618416076868,1.0264920174770489,36.98,Medium
M00066,89,126560.81,3,86,0.0337078651685393,Normal,Education,Large,1509.8,69321,0.92,Net Banking,Central,False,-1.070631082189342,-1.1856036223408202,-0.6986942315613204,1.0192382200940333,36.67,Medium
M00078,103,1274968.33,9,94,0.087378640776699,Normal,SaaS,Medium,13086.07,5091,0.925,Net Banking,West,False,1.0686337172095894,0.3233464424565873,1.5468761773281885,1.0152247542827089,36.5,Medium
M00090,91,839475.58,8,83,0.0879120879120879,Normal,Healthcare,Medium,9276.56,10921,0.93,Debit Card,East,False,1.0898964000411036,-0.970039327369762,0.6953233829979,0.9870103820981946,35.32,Medium
M00069,84,548312.62,7,77,0.0833333333333333,Normal,Education,Small,6609.92,2675,0.94,Credit Card,North,False,0.907391705737278,-1.7245143597684658,0.1259898356690914,0.9145358625298784,32.28,Medium
M00044,92,1430163.31,7,85,0.0760869565217391,Normal,Professional Services,Small,15199.41,1333,0.925,Net Banking,East,False,0.6185581895347032,-0.8622571798842329,1.8503409741245376,0.913654544522576,32.24,Medium
M00046,111,1490402.0,8,103,0.072072072072072,Normal,Professional Services,Small,13830.93,1572,0.925,Net Banking,East,True,0.4585288089359782,1.1856036223408202,1.968130362802756,0.905864082390302,31.91,Medium
M00062,106,479007.78,3,103,0.0283018867924528,Normal,Retail,Medium,4251.76,7978,0.935,Credit Card,East,False,-1.2861081107068024,0.6466928849131747,-0.0095273001790106,0.9029089034425184,31.79,Medium
M00050,104,1180670.7,4,100,0.0384615384615384,Normal,SaaS,Small,11993.73,1469,0.955,Wallet,West,False,-0.8811542984402042,0.4311285899421164,1.362488698259424,0.8874160367044306,31.14,Medium
M00047,98,166985.52,3,95,0.0306122448979591,Normal,Healthcare,Medium,1677.19,14321,0.96,UPI,Central,False,-1.194019488675333,-0.2155642949710582,-0.6196486567257082,0.8834542835445531,30.97,Medium
M00008,91,1194821.45,7,84,0.0769230769230769,Incident,Travel,Small,13881.77,1593,0.93,Credit Card,East,False,0.6518851337119239,-0.970039327369762,1.3901587586780402,0.8631706974367148,30.12,Medium
M00016,107,107349.67,9,98,0.0841121495327102,Normal,Retail,Medium,1015.48,11797,0.925,Debit Card,North,False,0.9384345602824128,0.7544750323987038,-0.7362592655355265,0.8612075957562938,30.04,Medium
M00037,98,732962.88,3,95,0.0306122448979591,Normal,Education,Medium,7232.01,7033,0.96,UPI,West,True,-1.194019488675333,-0.2155642949710582,0.4870508289389318,0.8569347179871979,29.86,Low
M00067,120,58644.51,6,114,0.05,Normal,Food Delivery,Medium,517.18,13748,0.935,Credit Card,West,False,-0.4212424687945637,2.1556429497105825,-0.8314962473137621,0.8501733206816071,29.58,Low
